ItemNumber,NestID,Length_mm,AssignedBeam_mm,BeamIndex,WasteOnBeam_mm,OldWaste_mm
UC11-6955-P,all,12804,13000,1,0,196
04400,all,190,13000,1,0,4055
UC11-0044-S,all,12804,13000,2,0,196
04463,all,190,13000,2,0,365
UC11-0046-S,all,12804,13000,3,0,196
05145,all,190,13000,3,0,3503
UC11-0018-P,all,12804,13000,4,0,196
05146,all,190,13000,4,0,3503
UC11-0039-S,all,12803,13000,5,0,197
03426,all,191,13000,5,0,99
UC11-0011-P,all,12803,13000,6,0,197
01920,all,191,13000,6,0,20
UC11-0047-S,all,12803,13000,7,0,197
03338,all,191,13000,7,0,2960
UC11-0805-P,all,12803,13000,8,0,197
03428,all,191,13000,8,0,5180
UC11-0484-S,all,12802,13000,9,0,198
04972,all,192,13000,9,0,
UC11-0479-S,all,12802,13000,10,0,198
02543,all,192,13000,10,0,2482
UC11-0037-S,all,12802,13000,11,0,198
03182,all,192,13000,11,0,2755
UC11-0036-S,all,12802,13000,12,0,198
04582,all,192,13000,12,0,
UC11-0009-P,all,12802,13000,13,0,198
05019,all,192,13000,13,0,
UC11-0054-S,all,12802,13000,14,0,198
01314,all,192,13000,14,0,2060
UC11-0053-S,all,12802,13000,15,0,198
04554,all,192,13000,15,0,
UC11-0052-S,all,12802,13000,16,0,198
02731,all,192,13000,16,0,
UC11-0051-S,all,12802,13000,17,0,198
02721,all,192,13000,17,0,
UC11-0025-P,all,12802,13000,18,0,198
02724,all,192,13000,18,0,570
UC11-0024-P,all,12802,13000,19,0,198
02651,all,192,13000,19,0,5603
UC11-0023-P,all,12802,13000,20,0,198
02010,all,192,13000,20,0,30
UC11-0022-P,all,12802,13000,21,0,198
01787,all,192,13000,21,0,
UC11-1314-P,all,12801,13000,22,0,199
03968,all,193,13000,22,0,
UC11-0055-S,all,12801,13000,23,0,199
03755,all,193,13000,23,0,63
UC11-0026-P,all,12801,13000,24,0,199
01553,all,193,13000,24,0,10904
UC12-0006-P,all,12801,13000,25,0,199
02543,all,193,13000,25,0,2482
UC12-0005-P,all,12801,13000,26,0,199
03971,all,193,13000,26,0,
UC12-0011-S,all,12801,13000,27,0,199
